,Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp,Charge,Total Charge,Charge Density,Charge Integral,Anodal Charge Integral,Cathodal Charge Integral,Anodal Charge Storage Capacity,Cathodal Charge Storage Capacity,Date,Time,Site
0,217,43.6,7.89814E-001,3.03021e-10,0.00000E+000,7.90000E-001,8.00223E-005,4,..........., 0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
1,218,43.8,7.80214E-001,1.99017e-10,0.00000E+000,7.80000E-001,8.00223E-005,4,..........., 0.01,5.020390040780083e-08,5.020390040780083e-08,0.002510195020390041,0.002510195020390041,0.002510195020390041,0.0,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
2,219,44,7.69814E-001,1.33015e-10,0.00000E+000,7.70000E-001,8.00223E-005,4,..........., 0.01,3.3203266406532816e-08,8.340716681433364e-08,0.004170358340716682,0.0016601633203266407,0.0016601633203266407,0.0,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
3,220,44.2,7.60014E-001,8.70131e-11,0.00000E+000,7.60000E-001,8.00223E-005,4,..........., 0.01,2.200285400570801e-08,1.0541002082004166e-07,0.005270501041002082,0.0011001427002854005,0.0011001427002854005,0.0,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
4,221,44.4,7.49814E-001,4.90117e-11,0.00000E+000,7.50000E-001,8.00223E-005,4,..........., 0.01,1.3602507205014411e-08,1.1901252802505607e-07,0.005950626401252803,0.0006801253602507205,0.0006801253602507205,0.0,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
5,222,44.6,7.40014E-001,2.70108e-11,0.00000E+000,7.40000E-001,-2.19978E-004,4,..........., 0.01,7.60226520453041e-09,1.2661479322958647e-07,0.006330739661479323,0.00038011326022652046,0.00038011326022652046,0.0,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
6,223,44.8,7.30314E-001,5.00999e-12,0.00000E+000,7.30000E-001,8.00223E-005,4,..........., 0.01,3.2020854041708087e-09,1.298168786337573e-07,0.006490843931687864,0.0001601042702085404,0.0001601042702085404,0.0,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
7,224,45,7.19814E-001,-8.99055e-12,0.00000E+000,7.20000E-001,8.00223E-005,4,..........., 0.01,-3.980567961135923e-10,1.294188218376437e-07,0.006470941091882185,1.9902839805679615e-05,0.0,1.9902839805679615e-05,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
8,225,45.2,7.10014E-001,-2.29911e-11,0.00000E+000,7.10000E-001,8.00223E-005,4,..........., 0.01,-3.198171396342793e-09,1.262206504413009e-07,0.006311032522065045,0.00015990856981713963,0.0,0.00015990856981713963,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
9,226,45.4,7.00014E-001,-3.49915e-11,0.00000E+000,7.00000E-001,8.00223E-005,4,..........., 0.01,-5.798271596543194e-09,1.2042237884475772e-07,0.006021118942237886,0.0002899135798271597,0.0,0.0002899135798271597,0.19483748812497625,6.018984826019652,2024-03-21,16:10:21,E01
